epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.4298112690448761,0.2780337631702423,0.5701887011528015,1e-05,0.4489894211292267,0.6587908864021301,0.3257974088191986,0.195883110165596,0.6681182384490967,0.2616821229457855,0.06929724663496017
1,0.6390198469161987,0.473621666431427,0.3609803020954132,1e-05,0.6487613916397095,0.909375011920929,0.3346432149410248,0.20229856669902802,0.6607903838157654,0.3664732873439789,0.354044109582901
2,0.7666882276535034,0.6247003674507141,0.23331178724765778,1e-05,0.8597007393836975,0.9582558274269104,0.288435697555542,0.16877292096614838,0.7078630924224854,0.0,0.0
3,0.8271454572677612,0.7084077000617981,0.17285457253456116,1e-05,0.9289087653160095,0.9663034081459045,0.23270714282989502,0.132017120718956,0.7632386088371277,0.0,0.0
4,0.8595886826515198,0.7553516030311584,0.14041122794151306,1e-05,0.9466825127601624,0.9698489904403687,0.18490219116210938,0.10204960405826569,0.8164643049240112,0.0,0.0
5,0.8770777583122253,0.7828541398048401,0.12292222678661346,1e-05,0.9559919238090515,0.970435619354248,0.14695000648498535,0.07937686890363693,0.8522476553916931,0.0,0.0
6,0.8893231153488159,0.8019699454307556,0.11067689210176468,1e-05,0.9631381630897522,0.9731250405311584,0.13669343292713165,0.07348557561635971,0.8645414710044861,0.796390950679779,0.011595463380217552
7,0.8956731557846069,0.8126887083053589,0.10432685166597366,1e-06,0.9661051034927368,0.9772524833679199,0.47956204414367676,0.3284786641597748,0.539898157119751,0.9714628458023071,0.33916789293289185
8,0.9010435342788696,0.820705771446228,0.0989563912153244,1e-06,0.9682633876800537,0.9794102907180786,0.7752652764320374,0.6338070034980774,0.22467051446437836,0.955960750579834,0.7690138220787048
9,0.8977726697921753,0.8158813714981079,0.10222745686769485,1e-06,0.9693507552146912,0.9779499769210815,0.8507893681526184,0.7427462935447693,0.14179128408432007,0.9315051436424255,0.9379746317863464
